Modelo,Valor,Local,Ano
IPHONE 6S,200.0,AQUIRAZ,2015.0
IPHONE 5S,250.0,FORTALEZA VILA UNIÃO,2013.0
IPHONE 6S,300.0,FORTALEZA BENFICA,2015.0
IPHONE SE1,300.0,FORTALEZA FÁTIMA,2016.0
IPHONE 6,300.0,FORTALEZA VICENTE PINZON,2014.0
IPHONE 5S,350.0,FORTALEZA GRANJA LISBOA,2013.0
IPHONE 6S,350.0,FORTALEZA PAUPINA,2015.0
IPHONE 6,350.0,FORTALEZA BARROSO,2014.0
IPHONE SE1,350.0,CAUCAIA PLANALTO CAUCAIA,2016.0
IPHONE 6S,350.0,FORTALEZA PAUPINA,2015.0
IPHONE 6,350.0,FORTALEZA SIQUEIRA,2014.0
IPHONE 7,380.0,FORTALEZA PASSARÉ,2016.0
IPHONE 6S PLUS,400.0,FORTALEZA JARDIM DAS OLIVEIRAS,2015.0
IPHONE 7,400.0,FORTALEZA BARROSO,2016.0
IPHONE 6,400.0,FORTALEZA SAPIRANGA-COITÉ,2014.0
IPHONE 6S PLUS,400.0,PACATUBA SENADOR CARLOS JEREISSATI,2015.0
IPHONE 6S,400.0,FORTALEZA FLORESTA,2015.0
IPHONE 7,400.0,FORTALEZA CRISTO REDENTOR,2016.0
IPHONE 6S,430.0,FORTALEZA JÓQUEI CLUBE,2015.0
IPHONE 6S,450.0,FORTALEZA ÁLVARO WEYNE,2015.0
IPHONE 6,450.0,FORTALEZA CAJAZEIRAS,2014.0
IPHONE 6S,450.0,CAUCAIA ARIANÓPOLIS (JUREMA),2015.0
IPHONE 7,450.0,FORTALEZA QUINTINO CUNHA,2016.0
IPHONE 6S,450.0,FORTALEZA GRANJA PORTUGAL,2015.0
IPHONE 7 PLUS,450.0,FORTALEZA GENIBAÚ,2016.0
IPHONE 6S,450.0,FORTALEZA JARDIM CEARENSE,2015.0
IPHONE 6S,450.0,FORTALEZA JACARECANGA,2015.0
IPHONE 7,450.0,FORTALEZA QUINTINO CUNHA,2016.0
IPHONE 6S,450.0,FORTALEZA PARQUE SANTA MARIA,2015.0
IPHONE 6 PLUS,450.0,ITAITINGA,2014.0
IPHONE 6S,450.0,MARACANAÚ ACARACUZINHO,2015.0
IPHONE 6S,470.0,FORTALEZA PARQUELÂNDIA,2015.0
IPHONE 7,470.0,FORTALEZA BOM JARDIM,2016.0
IPHONE 6S,480.0,FORTALEZA PARQUE SÃO JOSÉ,2015.0
IPHONE 6 PLUS,480.0,FORTALEZA SERRINHA,2014.0
IPHONE 7,499.0,FORTALEZA CURIÓ,2016.0
IPHONE 6 PLUS,500.0,FORTALEZA SERRINHA,2014.0
IPHONE 6S PLUS,500.0,FORTALEZA BOM JARDIM,2015.0
IPHONE 6S,500.0,PINDORETAMA,2015.0
IPHONE 6S,500.0,EUSÉBIO COITÉ,2015.0
IPHONE 7,500.0,MARANGUAPE NOVO MARANGUAPE II,2016.0
IPHONE 7,500.0,FORTALEZA JANGURUSSU,2016.0
IPHONE 7,500.0,CAUCAIA PLANALTO CAUCAIA,2016.0
IPHONE 7,500.0,FORTALEZA NOVO MONDUBIM,2016.0
IPHONE 6S,500.0,ITAITINGA,2015.0
IPHONE 7,500.0,FORTALEZA CONJUNTO CEARÁ II,2016.0
IPHONE 7,500.0,FORTALEZA DIAS MACEDO,2016.0
IPHONE 7,500.0,FORTALEZA PARQUELÂNDIA,2016.0
IPHONE 7,500.0,PACATUBA PAVUNA,2016.0
IPHONE 6S,500.0,FORTALEZA VILA VELHA,2015.0
IPHONE 7 PLUS,500.0,FORTALEZA GENIBAÚ,2016.0
IPHONE 7 PLUS,500.0,FORTALEZA GENIBAÚ,2016.0
IPHONE 7,500.0,MARANGUAPE NOVO MARANGUAPE II,2016.0
IPHONE 6S PLUS,500.0,FORTALEZA JARDIM DAS OLIVEIRAS,2015.0
IPHONE 7,525.0,CAUCAIA MARECHAL RONDON (JUREMA),2016.0
IPHONE 6S,549.0,FORTALEZA JANGURUSSU,2015.0
IPHONE 7,550.0,FORTALEZA HENRIQUE JORGE,2016.0
IPHONE 6S,550.0,MARACANAÚ JAÇANAÚ,2015.0
IPHONE 7,550.0,FORTALEZA BELA VISTA,2016.0
IPHONE 7,550.0,FORTALEZA SAPIRANGA-COITÉ,2016.0
IPHONE 7,550.0,FORTALEZA PICI,2016.0
IPHONE 6S PLUS,550.0,FORTALEZA BARRA DO CEARÁ,2015.0
IPHONE 7,550.0,FORTALEZA SAPIRANGA-COITÉ,2016.0
IPHONE 6S,550.0,FORTALEZA MANOEL SÁTIRO,2015.0
IPHONE 7,550.0,FORTALEZA MUCURIPE,2016.0
IPHONE 6S,550.0,CAUCAIA CONJUNTO METROPOLITANO,2015.0
IPHONE 7,550.0,FORTALEZA JANGURUSSU,2016.0
IPHONE 6S,550.0,FORTALEZA FÁTIMA,2015.0
IPHONE 5S,560.0,FORTALEZA PRESIDENTE KENNEDY,2013.0
IPHONE 6S,565.0,FORTALEZA JOSÉ DE ALENCAR,2015.0
IPHONE SE1,570.0,FORTALEZA SAPIRANGA-COITÉ,2016.0
IPHONE 7,580.0,FORTALEZA CIDADE 2000,2016.0
IPHONE 6S,590.0,FORTALEZA JOAQUIM TÁVORA,2015.0
IPHONE 6S,590.0,FORTALEZA JOAQUIM TÁVORA,2015.0
IPHONE 7 PLUS,599.0,FORTALEZA ALDEOTA,2016.0
IPHONE 7,600.0,FORTALEZA CANINDEZINHO,2016.0
IPHONE 6,600.0,FORTALEZA PEDRAS,2014.0
IPHONE 7,600.0,FORTALEZA DENDÊ,2016.0
IPHONE 6S,600.0,FORTALEZA JOSÉ BONIFÁCIO,2015.0
IPHONE 7,600.0,FORTALEZA SALINAS,2016.0
IPHONE 7 PLUS,600.0,FORTALEZA BARRA DO CEARÁ,2016.0
IPHONE 7,600.0,FORTALEZA PAPICU,2016.0
IPHONE 7,600.0,FORTALEZA GRANJA LISBOA,2016.0
IPHONE 7,600.0,MARANGUAPE NOVO MARANGUAPE II,2016.0
IPHONE 7,600.0,FORTALEZA GRANJA PORTUGAL,2016.0
IPHONE 7,600.0,FORTALEZA SAPIRANGA-COITÉ,2016.0
IPHONE 7,600.0,FORTALEZA ANTÔNIO BEZERRA,2016.0
IPHONE 7 PLUS,600.0,MARANGUAPE NOVO MARANGUAPE II,2016.0
IPHONE 7,600.0,FORTALEZA CIDADE DOS FUNCIONÁRIOS,2016.0
IPHONE 7,600.0,FORTALEZA PLANALTO AYRTON SENNA,2016.0
IPHONE 7,600.0,FORTALEZA MEIRELES,2016.0
IPHONE 11,600.0,FORTALEZA BOM FUTURO,2019.0
IPHONE 6,600.0,CAUCAIA NOVA METRÓPOLE (JUREMA),2014.0
IPHONE 7,600.0,FORTALEZA BOM JARDIM,2016.0
IPHONE 7,600.0,FORTALEZA JARDIM GUANABARA,2016.0
IPHONE 6S,600.0,EUSÉBIO,2015.0
IPHONE 7,650.0,FORTALEZA EDSON QUEIROZ,2016.0
IPHONE 7,650.0,FORTALEZA SERRINHA,2016.0
IPHONE 7,650.0,FORTALEZA CARLITO PAMPLONA,2016.0
IPHONE 6,650.0,FORTALEZA EDSON QUEIROZ,2014.0
IPHONE 7,650.0,MARACANAÚ JARDIM BANDEIRANTES,2016.0
IPHONE 7,650.0,FORTALEZA JÓQUEI CLUBE,2016.0
IPHONE 7,650.0,FORTALEZA ALTO DA BALANÇA,2016.0
IPHONE 7,650.0,FORTALEZA ENGENHEIRO LUCIANO CAVALCANTE,2016.0
IPHONE 7 PLUS,650.0,CAUCAIA PARQUE GUADALAJARA (JUREMA),2016.0
IPHONE 7,650.0,FORTALEZA PARQUE IRACEMA,2016.0
IPHONE 6S,650.0,FORTALEZA MEIRELES,2015.0
IPHONE 7,680.0,FORTALEZA CENTRO,2016.0
IPHONE 7,680.0,FORTALEZA BOM FUTURO,2016.0
IPHONE 7,700.0,FORTALEZA RODOLFO TEÓFILO,2016.0
IPHONE 7,700.0,FORTALEZA PASSARÉ,2016.0
IPHONE X,700.0,FORTALEZA CARLITO PAMPLONA,2017.0
IPHONE 7,700.0,FORTALEZA CENTRO,2016.0
IPHONE 8,700.0,FORTALEZA CAJAZEIRAS,2017.0
IPHONE 7,700.0,FORTALEZA JACARECANGA,2016.0
IPHONE 7,700.0,MARACANAÚ ACARACUZINHO,2016.0
IPHONE 7,700.0,FORTALEZA ALDEOTA,2016.0
IPHONE 7 PLUS,700.0,MARACANAÚ JEREISSATI I,2016.0
IPHONE 6,700.0,FORTALEZA JARDIM DAS OLIVEIRAS,2014.0
IPHONE 7,700.0,FORTALEZA SIQUEIRA,2016.0
IPHONE 7,700.0,FORTALEZA MOURA BRASIL,2016.0
IPHONE 7,700.0,FORTALEZA JARDIM CEARENSE,2016.0
IPHONE 7,700.0,AQUIRAZ,2016.0
IPHONE 7 PLUS,700.0,FORTALEZA AUTRAN NUNES,2016.0
IPHONE 7,700.0,MARACANAÚ ACARACUZINHO,2016.0
IPHONE 7,700.0,FORTALEZA CRISTO REDENTOR,2016.0
IPHONE 7,700.0,FORTALEZA DEMÓCRITO ROCHA,2016.0
IPHONE 7,700.0,MARACANAÚ HORTO,2016.0
IPHONE 6S,700.0,FORTALEZA MANOEL SÁTIRO,2015.0
IPHONE 8,700.0,FORTALEZA PARQUELÂNDIA,2017.0
IPHONE 7,700.0,FORTALEZA PARQUE DOIS IRMÃOS,2016.0
IPHONE 7,700.0,FORTALEZA JANGURUSSU,2016.0
IPHONE 7,700.0,FORTALEZA BONSUCESSO,2016.0
IPHONE 7,700.0,FORTALEZA MESSEJANA,2016.0
IPHONE 6S PLUS,700.0,FORTALEZA CENTRO,2015.0
IPHONE 7 PLUS,700.0,CAUCAIA PLANALTO CAUCAIA,2016.0
IPHONE 7 PLUS,700.0,FORTALEZA VILA UNIÃO,2016.0
IPHONE 7,700.0,FORTALEZA PARQUE DOIS IRMÃOS,2016.0
IPHONE 7 PLUS,720.0,FORTALEZA AMADEU FURTADO,2016.0
IPHONE 7 PLUS,749.0,FORTALEZA CAIS DO PORTO,2016.0
IPHONE 7 PLUS,750.0,FORTALEZA NOVO MONDUBIM,2016.0
IPHONE 7,750.0,FORTALEZA PARREÃO,2016.0
IPHONE 7 PLUS,750.0,FORTALEZA CAIS DO PORTO,2016.0
IPHONE 8,750.0,FORTALEZA GRANJA PORTUGAL,2017.0
IPHONE 7,750.0,FORTALEZA ARACAPÉ,2016.0
IPHONE 8,750.0,FORTALEZA VILA VELHA,2017.0
IPHONE 7,750.0,EUSÉBIO TAMATANDUBA,2016.0
IPHONE 8,750.0,FORTALEZA BARROSO,2017.0
IPHONE 7,750.0,FORTALEZA JANGURUSSU,2016.0
IPHONE 7 PLUS,750.0,PACATUBA SENADOR CARLOS JEREISSATI,2016.0
IPHONE 7,750.0,FORTALEZA MESSEJANA,2016.0
IPHONE 7,750.0,CAUCAIA CIGANA,2016.0
IPHONE 7,750.0,MARACANAÚ PAJUÇARA,2016.0
IPHONE 8,750.0,FORTALEZA CAJAZEIRAS,2017.0
IPHONE 7 PLUS,750.0,FORTALEZA CENTRO,2016.0
IPHONE 7 PLUS,750.0,FORTALEZA CAIS DO PORTO,2016.0
IPHONE 7 PLUS,750.0,FORTALEZA CONJUNTO CEARÁ I,2016.0
IPHONE XR,750.0,FORTALEZA JANGURUSSU,2018.0
IPHONE 7,750.0,FORTALEZA PASSARÉ,2016.0
IPHONE 8,750.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
IPHONE 6,750.0,FORTALEZA JANGURUSSU,2014.0
IPHONE XR,750.0,FORTALEZA JANGURUSSU,2018.0
IPHONE 8 PLUS,770.0,FORTALEZA SERRINHA,2017.0
IPHONE 7 PLUS,780.0,FORTALEZA FÁTIMA,2016.0
IPHONE 7,780.0,FORTALEZA PARQUE SÃO JOSÉ,2016.0
IPHONE 7 PLUS,800.0,FORTALEZA ELLERY,2016.0
IPHONE 7 PLUS,800.0,MARACANAÚ LUZARDO VIANA,2016.0
IPHONE 7 PLUS,800.0,FORTALEZA PRAIA DE IRACEMA,2016.0
IPHONE 8,800.0,CAUCAIA PARQUE ALBANO (JUREMA),2017.0
IPHONE 8,800.0,FORTALEZA MONDUBIM,2017.0
IPHONE 8 PLUS,800.0,SÃO GONÇALO DO AMARANTE,2017.0
IPHONE 8,800.0,FORTALEZA DIONISIO TORRES,2017.0
IPHONE 8,800.0,FORTALEZA BARRA DO CEARÁ,2017.0
IPHONE 7,800.0,FORTALEZA CRISTO REDENTOR,2016.0
IPHONE 6,800.0,BATURITÉ CENTRO,2014.0
IPHONE 8,800.0,AQUIRAZ,2017.0
IPHONE 7 PLUS,800.0,PACATUBA SENADOR CARLOS JEREISSATI,2016.0
IPHONE 8,800.0,FORTALEZA MONTESE,2017.0
IPHONE 7,800.0,FORTALEZA PREFEITO JOSÉ WALTER,2016.0
IPHONE 7 PLUS,800.0,FORTALEZA PANAMERICANO,2016.0
IPHONE 8,800.0,FORTALEZA PARQUE SANTA ROSA,2017.0
IPHONE 7 PLUS,800.0,FORTALEZA PRESIDENTE KENNEDY,2016.0
IPHONE 8 PLUS,800.0,FORTALEZA CONJUNTO CEARÁ II,2017.0
IPHONE 8,800.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
IPHONE 8,800.0,FORTALEZA VARJOTA,2017.0
IPHONE 8,800.0,FORTALEZA PRESIDENTE KENNEDY,2017.0
IPHONE 7,800.0,FORTALEZA ALTO DA BALANÇA,2016.0
IPHONE 8,800.0,FORTALEZA PARQUELÂNDIA,2017.0
IPHONE SE1,800.0,FORTALEZA BARRA DO CEARÁ,2016.0
IPHONE 6S,800.0,FORTALEZA BARRA DO CEARÁ,2015.0
IPHONE 7 PLUS,800.0,FORTALEZA VILA UNIÃO,2016.0
IPHONE 7 PLUS,800.0,FORTALEZA DIONISIO TORRES,2016.0
IPHONE 7,800.0,FORTALEZA PARREÃO,2016.0
IPHONE 7,800.0,FORTALEZA CANINDEZINHO,2016.0
IPHONE 7,800.0,FORTALEZA VILA VELHA,2016.0
IPHONE 7 PLUS,800.0,MARACANAÚ INDUSTRIAL,2016.0
IPHONE 8 PLUS,800.0,AQUIRAZ,2017.0
IPHONE 8,840.0,FORTALEZA CARLITO PAMPLONA,2017.0
IPHONE 8 PLUS,850.0,FORTALEZA BOA VISTA-CASTELÃO,2017.0
IPHONE 8,850.0,MARACANAÚ NOVO MARACANAÚ,2017.0
IPHONE 8,850.0,AQUIRAZ,2017.0
IPHONE 7 PLUS,850.0,FORTALEZA VILA PERI,2016.0
IPHONE 7 PLUS,850.0,FORTALEZA BONSUCESSO,2016.0
IPHONE 7 PLUS,850.0,FORTALEZA CONJUNTO CEARÁ I,2016.0
IPHONE 8,850.0,FORTALEZA ALDEOTA,2017.0
IPHONE 8,850.0,FORTALEZA DAMAS,2017.0
IPHONE 7,850.0,MARACANAÚ PAJUÇARA,2016.0
IPHONE 7 PLUS,850.0,FORTALEZA PASSARÉ,2016.0
IPHONE 8,850.0,FORTALEZA CONJUNTO CEARÁ I,2017.0
IPHONE 8,850.0,FORTALEZA MEIRELES,2017.0
IPHONE 8,850.0,FORTALEZA TAUAPE,2017.0
IPHONE 8,850.0,FORTALEZA JARDIM GUANABARA,2017.0
IPHONE 7 PLUS,870.0,FORTALEZA MONDUBIM,2016.0
IPHONE 7 PLUS,870.0,FORTALEZA BARROSO,2016.0
IPHONE 8,900.0,FORTALEZA JARDIM DAS OLIVEIRAS,2017.0
IPHONE 7 PLUS,900.0,FORTALEZA MONDUBIM,2016.0
IPHONE 7 PLUS,900.0,FORTALEZA JARDIM IRACEMA,2016.0
IPHONE 8,900.0,CAUCAIA NOVA METRÓPOLE (JUREMA),2017.0
IPHONE 8,900.0,FORTALEZA PREFEITO JOSÉ WALTER,2017.0
IPHONE 8,900.0,FORTALEZA ANCURI,2017.0
IPHONE 7,900.0,CAUCAIA NOVA METRÓPOLE (JUREMA),2016.0
IPHONE 8,900.0,FORTALEZA BOM JARDIM,2017.0
IPHONE 8,900.0,FORTALEZA PASSARÉ,2017.0
IPHONE 8 PLUS,900.0,MARANGUAPE GUABIRABA,2017.0
IPHONE 7,900.0,FORTALEZA ANTÔNIO BEZERRA,2016.0
IPHONE 8 PLUS,900.0,FORTALEZA SERRINHA,2017.0
IPHONE 8,900.0,FORTALEZA MANOEL SÁTIRO,2017.0
IPHONE 8,900.0,SÃO GONÇALO DO AMARANTE,2017.0
IPHONE 7 PLUS,900.0,FORTALEZA DOM LUSTOSA,2016.0
IPHONE 8,900.0,FORTALEZA VILA VELHA,2017.0
IPHONE 8,900.0,FORTALEZA MANOEL SÁTIRO,2017.0
IPHONE 8,900.0,FORTALEZA ITAPERI,2017.0
IPHONE 8 PLUS,900.0,CAUCAIA PARQUE SOLEDADE,2017.0
IPHONE 8,900.0,MARACANAÚ JEREISSATI I,2017.0
IPHONE 8,900.0,FORTALEZA PARQUE SANTA MARIA,2017.0
IPHONE 7 PLUS,900.0,FORTALEZA MANOEL SÁTIRO,2016.0
IPHONE 8,900.0,FORTALEZA GENIBAÚ,2017.0
IPHONE 8 PLUS,900.0,FORTALEZA JARDIM GUANABARA,2017.0
IPHONE 7 PLUS,900.0,FORTALEZA SIQUEIRA,2016.0
IPHONE 7 PLUS,900.0,FORTALEZA SAPIRANGA-COITÉ,2016.0
IPHONE SE1,900.0,FORTALEZA COCÓ,2016.0
IPHONE 8,900.0,FORTALEZA BARRA DO CEARÁ,2017.0
IPHONE 8,900.0,FORTALEZA MESSEJANA,2017.0
IPHONE 7 PLUS,900.0,FORTALEZA CAIS DO PORTO,2016.0
IPHONE 7 PLUS,900.0,FORTALEZA PARQUE SÃO JOSÉ,2016.0
IPHONE 7 PLUS,900.0,PACATUBA SENADOR CARLOS JEREISSATI,2016.0
IPHONE 8,900.0,FORTALEZA PASSARÉ,2017.0
IPHONE 7 PLUS,900.0,CAUCAIA PARQUE ALBANO (JUREMA),2016.0
IPHONE 7 PLUS,900.0,FORTALEZA PAPICU,2016.0
IPHONE SE1,900.0,FORTALEZA PASSARÉ,2016.0
IPHONE 7,900.0,CAUCAIA,2016.0
IPHONE 7 PLUS,950.0,MARANGUAPE NOVO PARQUE IRACEMA,2016.0
IPHONE 7 PLUS,950.0,CAUCAIA NOVA METRÓPOLE (JUREMA),2016.0
IPHONE 8,950.0,FORTALEZA MONTESE,2017.0
IPHONE 7 PLUS,950.0,FORTALEZA MONDUBIM,2016.0
IPHONE 7 PLUS,950.0,FORTALEZA PEDRAS,2016.0
IPHONE 8,950.0,FORTALEZA DOM LUSTOSA,2017.0
IPHONE 7 PLUS,950.0,FORTALEZA QUINTINO CUNHA,2016.0
IPHONE 8,950.0,FORTALEZA VILA VELHA,2017.0
IPHONE 7 PLUS,950.0,MARACANAÚ NOVO MARACANAÚ,2016.0
IPHONE 8,950.0,FORTALEZA BOM JARDIM,2017.0
IPHONE 8,950.0,CAUCAIA CIGANA,2017.0
IPHONE 8,950.0,FORTALEZA ELLERY,2017.0
IPHONE 8,950.0,FORTALEZA ALDEOTA,2017.0
IPHONE 8,950.0,FORTALEZA FÁTIMA,2017.0
IPHONE 8,950.0,FORTALEZA SIQUEIRA,2017.0
IPHONE 7,980.0,FORTALEZA CIDADE DOS FUNCIONÁRIOS,2016.0
IPHONE 7,980.0,FORTALEZA CIDADE DOS FUNCIONÁRIOS,2016.0
IPHONE 8,980.0,FORTALEZA PLANALTO AYRTON SENNA,2017.0
IPHONE 7 PLUS,999.0,FORTALEZA CONJUNTO PALMEIRAS,2016.0
IPHONE 8 PLUS,999.0,FORTALEZA VICENTE PINZON,2017.0
IPHONE 7,999.0,FORTALEZA MANUEL DIAS BRANCO,2016.0
IPHONE 6,999.0,FORTALEZA CURIÓ,
IPHONE 7 PLUS,999.0,FORTALEZA PICI,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA BONSUCESSO,2016.0
IPHONE 7,1000.0,CAUCAIA NOVA METRÓPOLE (JUREMA),2016.0
IPHONE SE1,1000.0,FORTALEZA MESSEJANA,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA JÓQUEI CLUBE,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA LAGOA REDONDA,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA MONTE CASTELO,2016.0
IPHONE 7,1000.0,FORTALEZA PARQUE MANIBURA,2016.0
IPHONE 8,1000.0,FORTALEZA EDSON QUEIROZ,2017.0
IPHONE 8,1000.0,FORTALEZA FARIAS BRITO,2017.0
IPHONE 8,1000.0,CAUCAIA PARQUE DAS NAÇÕES (JUREMA),2017.0
IPHONE 7 PLUS,1000.0,FORTALEZA GENIBAÚ,2016.0
IPHONE 8,1000.0,FORTALEZA GRANJA LISBOA,2017.0
IPHONE 8,1000.0,FORTALEZA BONSUCESSO,2017.0
IPHONE 7 PLUS,1000.0,FORTALEZA VILA VELHA,2016.0
IPHONE X,1000.0,FORTALEZA PARQUE SANTA MARIA,2017.0
IPHONE 8,1000.0,FORTALEZA CENTRO,2017.0
IPHONE 7 PLUS,1000.0,FORTALEZA ENGENHEIRO LUCIANO CAVALCANTE,2016.0
IPHONE 7,1000.0,FORTALEZA ALDEOTA,2016.0
IPHONE X,1000.0,CAUCAIA PARQUE POTIRA (JUREMA),2017.0
IPHONE 7 PLUS,1000.0,FORTALEZA FÁTIMA,2016.0
IPHONE 8 PLUS,1000.0,FORTALEZA GENIBAÚ,2017.0
