Modelo,Valor,Local,Ano
IPHONE 7 PLUS,1000.0,MARACANAÚ SIQUEIRA,2016.0
IPHONE 8 PLUS,1000.0,FORTALEZA BOA VISTA-CASTELÃO,2017.0
IPHONE 8,1000.0,FORTALEZA COCÓ,2017.0
IPHONE 8,1000.0,FORTALEZA CIDADE 2000,2017.0
IPHONE 7 PLUS,1000.0,PENTECOSTE,2016.0
IPHONE 8,1000.0,AQUIRAZ,2017.0
IPHONE 8,1000.0,FORTALEZA ÁLVARO WEYNE,2017.0
IPHONE 7 PLUS,1000.0,FORTALEZA AUTRAN NUNES,2016.0
IPHONE SE1,1000.0,FORTALEZA BONSUCESSO,2016.0
IPHONE 7 PLUS,1000.0,MARACANAÚ ACARACUZINHO,2016.0
IPHONE 8 PLUS,1000.0,FORTALEZA LAGOA REDONDA,2017.0
IPHONE 7,1000.0,FORTALEZA CONJUNTO CEARÁ II,2016.0
IPHONE X,1000.0,FORTALEZA ALTO DA BALANÇA,2017.0
IPHONE 7 PLUS,1000.0,FORTALEZA ENGENHEIRO LUCIANO CAVALCANTE,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA JOSÉ BONIFÁCIO,2016.0
IPHONE 7,1000.0,FORTALEZA PARQUE MANIBURA,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA CIDADE 2000,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA PARANGABA,2016.0
IPHONE 7 PLUS,1000.0,CAUCAIA PADRE JULIO MARIA,2016.0
IPHONE 8 PLUS,1000.0,FORTALEZA GRANJA PORTUGAL,2017.0
IPHONE 7 PLUS,1000.0,PACATUBA PAVUNA,2016.0
IPHONE 8,1000.0,FORTALEZA SÃO BENTO,2017.0
IPHONE 8 PLUS,1000.0,FORTALEZA PIRAMBU,2017.0
IPHONE 7 PLUS,1000.0,EUSÉBIO COAÇU,2016.0
IPHONE 7 PLUS,1000.0,FORTALEZA JOAQUIM TÁVORA,2016.0
IPHONE 7 PLUS,1050.0,FORTALEZA CONJUNTO PALMEIRAS,2016.0
IPHONE 8 PLUS,1050.0,FORTALEZA PARANGABA,2017.0
IPHONE 8,1050.0,FORTALEZA CIDADE 2000,2017.0
IPHONE 8,1050.0,FORTALEZA PASSARÉ,2017.0
IPHONE 8,1050.0,FORTALEZA GRANJA LISBOA,2017.0
IPHONE 8,1090.0,MARACANAÚ JARÍ,2017.0
IPHONE 7 PLUS,1100.0,FORTALEZA MONTE CASTELO,2016.0
IPHONE 7 PLUS,1100.0,CAUCAIA PARQUE ALBANO (JUREMA),2016.0
IPHONE 8,1100.0,MARANGUAPE NOVO MARANGUAPE II,2017.0
IPHONE X,1100.0,FORTALEZA CRISTO REDENTOR,2017.0
IPHONE 7 PLUS,1100.0,FORTALEZA ITAOCA,2016.0
IPHONE 7 PLUS,1100.0,FORTALEZA PREFEITO JOSÉ WALTER,2016.0
IPHONE 8 PLUS,1100.0,PINDORETAMA,2017.0
IPHONE SE,1100.0,FORTALEZA GRANJA LISBOA,2020.0
IPHONE 8,1100.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
IPHONE 11,1100.0,FORTALEZA MESSEJANA,2019.0
IPHONE 8 PLUS,1100.0,EUSÉBIO,2017.0
IPHONE 8,1100.0,FORTALEZA PAPICU,2017.0
IPHONE 8 PLUS,1100.0,FORTALEZA CONJUNTO PALMEIRAS,2017.0
IPHONE X,1100.0,CASCAVEL,2017.0
IPHONE 8 PLUS,1100.0,FORTALEZA MARAPONGA,2017.0
IPHONE 8 PLUS,1100.0,FORTALEZA DOM LUSTOSA,2017.0
IPHONE 7 PLUS,1100.0,CAUCAIA PARQUE LEBLON,2016.0
IPHONE 7 PLUS,1100.0,FORTALEZA PARQUELÂNDIA,2016.0
IPHONE 7 PLUS,1100.0,FORTALEZA SIQUEIRA,2016.0
IPHONE 8,1100.0,FORTALEZA MONTESE,2017.0
IPHONE X,1100.0,PACAJUS,2017.0
IPHONE 8 PLUS,1100.0,FORTALEZA MARAPONGA,2017.0
IPHONE 8 PLUS,1100.0,FORTALEZA CANINDEZINHO,2017.0
IPHONE 8 PLUS,1100.0,FORTALEZA PARQUE PRESIDENTE VARGAS,2017.0
IPHONE 7 PLUS,1100.0,FORTALEZA MONDUBIM,2016.0
IPHONE 8,1150.0,FORTALEZA MANOEL SÁTIRO,2017.0
IPHONE 8,1150.0,FORTALEZA PRESIDENTE KENNEDY,2017.0
IPHONE 8 PLUS,1150.0,FORTALEZA GUARARAPES,2017.0
IPHONE 8 PLUS,1150.0,FORTALEZA MONDUBIM,2017.0
IPHONE 7 PLUS,1150.0,FORTALEZA GRANJA LISBOA,2016.0
IPHONE SE,1150.0,FORTALEZA MESSEJANA,2020.0
IPHONE 7 PLUS,1170.0,FORTALEZA MONDUBIM,2016.0
IPHONE 8,1170.0,FORTALEZA HENRIQUE JORGE,2017.0
IPHONE 8,1179.0,EUSÉBIO PIRES FAÇANHA,2017.0
IPHONE 8,1200.0,FORTALEZA DAMAS,2017.0
IPHONE 8 PLUS,1200.0,CAUCAIA NOVA METRÓPOLE (JUREMA),2017.0
IPHONE 8,1200.0,MARACANAÚ JEREISSATI II,2017.0
IPHONE 7 PLUS,1200.0,HORIZONTE PLANALTO HORIZONTE,2016.0
IPHONE 8 PLUS,1200.0,MARACANAÚ LUZARDO VIANA,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA ALDEOTA,2017.0
IPHONE 8,1200.0,FORTALEZA PLANALTO AYRTON SENNA,2017.0
IPHONE 8 PLUS,1200.0,MARACANAÚ ALTO ALEGRE II,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA MARAPONGA,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
IPHONE 8,1200.0,CAUCAIA ARATURI (JUREMA),2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA PANAMERICANO,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA JÓQUEI CLUBE,2017.0
IPHONE 7 PLUS,1200.0,FORTALEZA MEIRELES,2016.0
IPHONE 8,1200.0,MARACANAÚ TIMBÓ,2017.0
IPHONE SE,1200.0,MARANGUAPE SAPUPARA,2020.0
IPHONE 8,1200.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA RODOLFO TEÓFILO,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA JACARECANGA,2017.0
IPHONE 8,1200.0,FORTALEZA JARDIM DAS OLIVEIRAS,2017.0
IPHONE X,1200.0,FORTALEZA DIAS MACEDO,2017.0
IPHONE 8,1200.0,FORTALEZA CANINDEZINHO,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA MONDUBIM,2017.0
IPHONE 7 PLUS,1200.0,FORTALEZA PARQUE IRACEMA,2016.0
IPHONE 8 PLUS,1200.0,FORTALEZA PREFEITO JOSÉ WALTER,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA JANGURUSSU,2017.0
IPHONE 7,1200.0,PACAJUS,2016.0
IPHONE XS,1200.0,FORTALEZA PADRE ANDRADE,2018.0
IPHONE SE,1200.0,FORTALEZA MONDUBIM,2020.0
IPHONE 8 PLUS,1200.0,CAUCAIA ARIANÓPOLIS (JUREMA),2017.0
IPHONE X,1200.0,FORTALEZA JANGURUSSU,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA GENIBAÚ,2017.0
IPHONE 7 PLUS,1200.0,FORTALEZA PRESIDENTE KENNEDY,2016.0
IPHONE 8 PLUS,1200.0,FORTALEZA PAPICU,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA SIQUEIRA,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA BARRA DO CEARÁ,2017.0
IPHONE X,1200.0,FORTALEZA ALDEOTA,2017.0
IPHONE 7 PLUS,1200.0,FORTALEZA MEIRELES,2016.0
IPHONE X,1200.0,FORTALEZA CARLITO PAMPLONA,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
IPHONE 8,1200.0,FORTALEZA PRESIDENTE KENNEDY,2017.0
IPHONE X,1200.0,CAUCAIA GUAGIRU,2017.0
IPHONE SE,1200.0,FORTALEZA PREFEITO JOSÉ WALTER,2020.0
IPHONE X,1200.0,MARACANAÚ COQUEIRAL,2017.0
IPHONE 8 PLUS,1200.0,MARACANAÚ TIMBÓ,2017.0
IPHONE 8 PLUS,1200.0,FORTALEZA PADRE ANDRADE,2017.0
IPHONE 8 PLUS,1250.0,FORTALEZA LAGOA REDONDA,2017.0
IPHONE 8 PLUS,1250.0,FORTALEZA CARLITO PAMPLONA,2017.0
IPHONE 8 PLUS,1250.0,FORTALEZA ALDEOTA,2017.0
IPHONE X,1250.0,FORTALEZA MONDUBIM,2017.0
IPHONE 8 PLUS,1250.0,FORTALEZA CONJUNTO CEARÁ I,2017.0
IPHONE 8 PLUS,1250.0,FORTALEZA SALINAS,2017.0
IPHONE 8 PLUS,1250.0,FORTALEZA GRANJA LISBOA,2017.0
IPHONE 8 PLUS,1250.0,PACAJUS,2017.0
IPHONE 8,1250.0,FORTALEZA MONDUBIM,2017.0
IPHONE 7 PLUS,1250.0,FORTALEZA GRANJA LISBOA,2016.0
IPHONE 7 PLUS,1250.0,FORTALEZA JÓQUEI CLUBE,2016.0
IPHONE X,1250.0,FORTALEZA LAGOA REDONDA,2017.0
IPHONE 7 PLUS,1250.0,FORTALEZA PICI,2016.0
IPHONE 8 PLUS,1259.0,FORTALEZA PARQUE SANTA ROSA,2017.0
IPHONE X,1299.0,FORTALEZA DIONISIO TORRES,2017.0
IPHONE 8,1299.0,FORTALEZA EDSON QUEIROZ,2017.0
IPHONE 8 PLUS,1299.0,FORTALEZA PARQUE IRACEMA,2017.0
IPHONE 8,1300.0,FORTALEZA PARQUELÂNDIA,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA ITAPERI,2017.0
IPHONE X,1300.0,FORTALEZA VILA PERI,2017.0
IPHONE 8,1300.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
IPHONE SE,1300.0,FORTALEZA PRESIDENTE KENNEDY,2020.0
IPHONE 8 PLUS,1300.0,FORTALEZA SAPIRANGA-COITÉ,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA PARQUE DOIS IRMÃOS,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
IPHONE X,1300.0,FORTALEZA GRANJA PORTUGAL,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA VICENTE PINZON,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA MANOEL SÁTIRO,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA JARDIM IRACEMA,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA PAPICU,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA ALTO DA BALANÇA,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA CANINDEZINHO,2017.0
IPHONE 8 PLUS,1300.0,EUSÉBIO COAÇU,2017.0
IPHONE 8,1300.0,EUSÉBIO TAMATANDUBA,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA PICI,2017.0
IPHONE XS MAX,1300.0,FORTALEZA PIRAMBU,2018.0
IPHONE X,1300.0,FORTALEZA CENTRO,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA JOAQUIM TÁVORA,2017.0
IPHONE 7 PLUS,1300.0,FORTALEZA ENGENHEIRO LUCIANO CAVALCANTE,2016.0
IPHONE 8 PLUS,1300.0,FORTALEZA BARRA DO CEARÁ,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA DIONISIO TORRES,2017.0
IPHONE 8,1300.0,FORTALEZA PRESIDENTE KENNEDY,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA PIRAMBU,2017.0
IPHONE X,1300.0,FORTALEZA RODOLFO TEÓFILO,2017.0
IPHONE 8,1300.0,FORTALEZA VILA VELHA,2017.0
IPHONE XS,1300.0,FORTALEZA CARLITO PAMPLONA,2018.0
IPHONE XS,1300.0,FORTALEZA VILA PERI,2018.0
IPHONE 8 PLUS,1300.0,EUSÉBIO COAÇU,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA JACARECANGA,2017.0
IPHONE XR,1300.0,CAUCAIA CENTRO,2018.0
IPHONE XS,1300.0,FORTALEZA COAÇU,2018.0
IPHONE 8 PLUS,1300.0,AQUIRAZ,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA PASSARÉ,2017.0
IPHONE X,1300.0,FORTALEZA BOM FUTURO,2017.0
IPHONE 8 PLUS,1300.0,CAUCAIA ICARAÍ,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA CANINDEZINHO,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA BARRA DO CEARÁ,2017.0
IPHONE 7 PLUS,1300.0,FORTALEZA GUAJERU,2016.0
IPHONE 8 PLUS,1300.0,FORTALEZA GRANJA PORTUGAL,2017.0
IPHONE X,1300.0,FORTALEZA GENIBAÚ,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA VILA PERI,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA VILA VELHA,2017.0
IPHONE X,1300.0,FORTALEZA ITAPERI,2017.0
IPHONE 8 PLUS,1300.0,FORTALEZA BARRA DO CEARÁ,2017.0
IPHONE SE,1300.0,FORTALEZA PASSARÉ,2020.0
IPHONE 8 PLUS,1349.0,FORTALEZA QUINTINO CUNHA,2017.0
IPHONE X,1350.0,FORTALEZA SÃO GERARDO,2017.0
IPHONE 8 PLUS,1350.0,PACAJUS,2017.0
IPHONE X,1350.0,FORTALEZA CONJUNTO ESPERANÇA,2017.0
IPHONE 8 PLUS,1350.0,CAUCAIA NOVO PABUSSU,2017.0
IPHONE 8 PLUS,1350.0,FORTALEZA MEIRELES,2017.0
IPHONE 8 PLUS,1350.0,MARACANAÚ NOVO MARACANAÚ,2017.0
IPHONE X,1350.0,FORTALEZA LAGOA REDONDA,2017.0
IPHONE X,1350.0,FORTALEZA JANGURUSSU,2017.0
IPHONE 8 PLUS,1350.0,FORTALEZA MESSEJANA,2017.0
IPHONE 8 PLUS,1350.0,FORTALEZA PARANGABA,2017.0
IPHONE 8 PLUS,1350.0,FORTALEZA CENTRO,2017.0
IPHONE 8 PLUS,1350.0,MARACANAÚ JEREISSATI I,2017.0
IPHONE 8 PLUS,1350.0,FORTALEZA MEIRELES,2017.0
IPHONE X,1350.0,FORTALEZA NOVO MONDUBIM,2017.0
IPHONE 8 PLUS,1350.0,FORTALEZA JARDIM IRACEMA,2017.0
IPHONE 8 PLUS,1350.0,FORTALEZA PARQUE SÃO JOSÉ,2017.0
IPHONE X,1350.0,MARACANAÚ JEREISSATI I,2017.0
IPHONE X,1350.0,FORTALEZA ÁLVARO WEYNE,2017.0
IPHONE 8 PLUS,1350.0,FORTALEZA VILA UNIÃO,2017.0
IPHONE X,1397.0,FORTALEZA PARANGABA,2017.0
IPHONE X,1399.0,FORTALEZA CENTRO,2017.0
IPHONE X,1399.0,FORTALEZA PARQUE DOIS IRMÃOS,2017.0
IPHONE 8 PLUS,1399.0,FORTALEZA QUINTINO CUNHA,2017.0
IPHONE X,1400.0,FORTALEZA VILA VELHA,2017.0
IPHONE 8 PLUS,1400.0,FORTALEZA CAJAZEIRAS,2017.0
IPHONE X,1400.0,FORTALEZA BOM JARDIM,2017.0
IPHONE 8 PLUS,1400.0,FORTALEZA PARQUELÂNDIA,2017.0
IPHONE X,1400.0,FORTALEZA BARRA DO CEARÁ,2017.0
IPHONE 8 PLUS,1400.0,FORTALEZA VILA PERI,2017.0
IPHONE XS,1400.0,FORTALEZA ITAOCA,2018.0
IPHONE 8 PLUS,1400.0,ITAITINGA,2017.0
IPHONE 8 PLUS,1400.0,FORTALEZA MONDUBIM,2017.0
IPHONE 8 PLUS,1400.0,MARACANAÚ LUZARDO VIANA,2017.0
IPHONE 8 PLUS,1400.0,FORTALEZA MESSEJANA,2017.0
IPHONE X,1400.0,FORTALEZA PRAIA DE IRACEMA,2017.0
IPHONE 8 PLUS,1400.0,FORTALEZA JARDIM DAS OLIVEIRAS,2017.0
IPHONE SE,1400.0,FORTALEZA JARDIM DAS OLIVEIRAS,2020.0
IPHONE 7 PLUS,1400.0,FORTALEZA PRESIDENTE KENNEDY,2016.0
IPHONE 8 PLUS,1400.0,FORTALEZA MONDUBIM,2017.0
IPHONE 8 PLUS,1400.0,FORTALEZA GENIBAÚ,2017.0
IPHONE X,1400.0,FORTALEZA FARIAS BRITO,2017.0
IPHONE X,1400.0,FORTALEZA SAPIRANGA-COITÉ,2017.0
IPHONE 8 PLUS,1400.0,FORTALEZA JOAQUIM TÁVORA,2017.0
IPHONE 7 PLUS,1400.0,FORTALEZA BARRA DO CEARÁ,2016.0
IPHONE X,1400.0,FORTALEZA CENTRO,2017.0
IPHONE X,1450.0,FORTALEZA CENTRO,2017.0
IPHONE X,1450.0,FORTALEZA PARQUE IRACEMA,2017.0
IPHONE 8 PLUS,1450.0,FORTALEZA PARREÃO,2017.0
IPHONE 8 PLUS,1450.0,FORTALEZA QUINTINO CUNHA,2017.0
IPHONE X,1450.0,FORTALEZA GENIBAÚ,2017.0
IPHONE 8 PLUS,1450.0,FORTALEZA JARDIM IRACEMA,2017.0
IPHONE 8 PLUS,1450.0,CAUCAIA GRILO,2017.0
IPHONE 8 PLUS,1450.0,FORTALEZA PARQUE PRESIDENTE VARGAS,2017.0
IPHONE X,1450.0,FORTALEZA JACARECANGA,2017.0
IPHONE X,1450.0,FORTALEZA BARRA DO CEARÁ,2017.0
IPHONE 8 PLUS,1450.0,FORTALEZA SAPIRANGA-COITÉ,2017.0
IPHONE 8 PLUS,1450.0,FORTALEZA BELA VISTA,2017.0
IPHONE X,1450.0,FORTALEZA PARQUE SÃO JOSÉ,2017.0
IPHONE 8 PLUS,1499.0,FORTALEZA JOSÉ DE ALENCAR,2017.0
IPHONE 8 PLUS,1499.0,FORTALEZA PARANGABA,2017.0
IPHONE X,1500.0,FORTALEZA PICI,2017.0
IPHONE X,1500.0,MARACANAÚ JEREISSATI II,2017.0
IPHONE X,1500.0,FORTALEZA PARQUE MANIBURA,2017.0
IPHONE X,1500.0,FORTALEZA FLORESTA,2017.0
IPHONE XS,1500.0,FORTALEZA PAPICU,2018.0
IPHONE 11,1500.0,EUSÉBIO,2019.0
IPHONE X,1500.0,FORTALEZA MONDUBIM,2017.0
IPHONE XS,1500.0,FORTALEZA PRES KENNEDY,2018.0
IPHONE SE,1500.0,CAUCAIA PARQUE ALBANO (JUREMA),2020.0
IPHONE X,1500.0,FORTALEZA NOVO MONDUBIM,2017.0
IPHONE X,1500.0,FORTALEZA GENIBAÚ,2017.0
IPHONE 8 PLUS,1500.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
IPHONE 8 PLUS,1500.0,FORTALEZA PAUPINA,2017.0
IPHONE X,1500.0,FORTALEZA EDSON QUEIROZ,2017.0
IPHONE X,1500.0,EUSÉBIO PRECABURA,2017.0
IPHONE X,1500.0,FORTALEZA PICI,2017.0
IPHONE X,1500.0,FORTALEZA PRESIDENTE KENNEDY,2017.0
IPHONE X,1500.0,FORTALEZA ITAPERI,2017.0
IPHONE XR,1500.0,PACATUBA SENADOR CARLOS JEREISSATI,2018.0
IPHONE SE,1500.0,FORTALEZA PARQUELÂNDIA,2020.0
IPHONE X,1500.0,FORTALEZA MARAPONGA,2017.0
IPHONE 8 PLUS,1500.0,FORTALEZA JARDIM GUANABARA,2017.0
IPHONE X,1500.0,FORTALEZA ALTO DA BALANÇA,2017.0
IPHONE 8 PLUS,1500.0,FORTALEZA BOM JARDIM,2017.0
IPHONE X,1500.0,EUSÉBIO PRECABURA,2017.0
IPHONE 8 PLUS,1500.0,FORTALEZA CIDADE DOS FUNCIONÁRIOS,2017.0
IPHONE 8 PLUS,1500.0,FORTALEZA MEIRELES,2017.0
IPHONE 8 PLUS,1500.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
IPHONE X,1500.0,FORTALEZA SAPIRANGA-COITÉ,2017.0
IPHONE 8 PLUS,1500.0,FORTALEZA MANOEL SÁTIRO,2017.0
IPHONE SE,1500.0,FORTALEZA PREF JOSÉ WALTER,2020.0
IPHONE 8 PLUS,1500.0,FORTALEZA GRANJA LISBOA,2017.0
IPHONE 8 PLUS,1500.0,FORTALEZA OLAVO OLIVEIRA,2017.0
IPHONE 8 PLUS,1500.0,MARANGUAPE NOVO MARANGUAPE I,2017.0
IPHONE X,1500.0,FORTALEZA MANOEL SÁTIRO,2017.0
IPHONE SE,1500.0,FORTALEZA FÁTIMA,2020.0
IPHONE X,1500.0,FORTALEZA PARQUE IRACEMA,2017.0
IPHONE X,1500.0,FORTALEZA DAMAS,2017.0
IPHONE X,1500.0,FORTALEZA VILA UNIÃO,2017.0
IPHONE 8 PLUS,1500.0,FORTALEZA MESSEJANA,2017.0
IPHONE 8 PLUS,1500.0,MARACANAÚ PAJUÇARA,2017.0
IPHONE X,1500.0,EUSÉBIO,2017.0
IPHONE X,1500.0,FORTALEZA MANOEL SÁTIRO,2017.0
IPHONE X,1530.0,FORTALEZA ALDEOTA,2017.0
IPHONE X,1550.0,FORTALEZA GUARARAPES,2017.0
IPHONE XS,1550.0,FORTALEZA MONDUBIM,2018.0
IPHONE X,1550.0,FORTALEZA EDSON QUEIROZ,2017.0
IPHONE X,1550.0,FORTALEZA JARDIM IRACEMA,2017.0
IPHONE X,1550.0,FORTALEZA GRANJA LISBOA,2017.0
IPHONE 8 PLUS,1550.0,FORTALEZA ÁLVARO WEYNE,2017.0
